casa,fora,gols_casa,gols_fora,resultado
France,1.0,4.0,1.0,casa
USA,0.0,3.0,0.0,casa
Yugoslavia,1.0,2.0,1.0,casa
Romania,1.0,3.0,1.0,casa
Argentina,0.0,1.0,0.0,casa
Chile,0.0,3.0,0.0,casa
Yugoslavia,0.0,4.0,0.0,casa
USA,0.0,3.0,0.0,casa
Uruguay,0.0,1.0,0.0,casa
Chile,0.0,1.0,0.0,casa
Argentina,3.0,6.0,3.0,casa
Brazil,0.0,4.0,0.0,casa
Paraguay,0.0,1.0,0.0,casa
Uruguay,0.0,4.0,0.0,casa
Argentina,1.0,3.0,1.0,casa
Argentina,1.0,6.0,1.0,casa
Uruguay,1.0,6.0,1.0,casa
Uruguay,2.0,4.0,2.0,casa
Austria,2.0,3.0,2.0,casa
Hungary,2.0,4.0,2.0,casa
Switzerland,2.0,3.0,2.0,casa
Sweden,2.0,3.0,2.0,casa
Germany,2.0,5.0,2.0,casa
Spain,1.0,3.0,1.0,casa
Italy,1.0,7.0,1.0,casa
Czechoslovakia,1.0,2.0,1.0,casa
Czechoslovakia,2.0,3.0,2.0,casa
Germany,1.0,2.0,1.0,casa
Italy,1.0,1.0,1.0,empate
Austria,1.0,2.0,1.0,casa
Italy,0.0,1.0,0.0,casa
Italy,0.0,1.0,0.0,casa
Czechoslovakia,1.0,3.0,1.0,casa
Germany,2.0,3.0,2.0,casa
Italy,1.0,2.0,1.0,casa
Switzerland,1.0,1.0,1.0,empate
Hungary,0.0,6.0,0.0,casa
France,1.0,3.0,1.0,casa
Cuba,3.0,3.0,3.0,empate
Italy,1.0,2.0,1.0,casa
Brazil,5.0,6.0,5.0,casa
Czechoslovakia,0.0,3.0,0.0,casa
Cuba,1.0,2.0,1.0,casa
Switzerland,2.0,4.0,2.0,casa
Brazil,1.0,1.0,1.0,empate
Hungary,0.0,2.0,0.0,casa
Sweden,0.0,8.0,0.0,casa
Italy,1.0,3.0,1.0,casa
Brazil,1.0,2.0,1.0,casa
Hungary,1.0,5.0,1.0,casa
Italy,1.0,2.0,1.0,casa
Brazil,2.0,4.0,2.0,casa
Italy,2.0,4.0,2.0,casa
Brazil,0.0,4.0,0.0,casa
England,0.0,2.0,0.0,casa
Spain,1.0,3.0,1.0,casa
Sweden,2.0,3.0,2.0,casa
Yugoslavia,0.0,3.0,0.0,casa
Brazil,2.0,2.0,2.0,empate
Yugoslavia,1.0,4.0,1.0,casa
Spain,0.0,2.0,0.0,casa
Sweden,2.0,2.0,2.0,empate
USA,0.0,1.0,0.0,casa
Brazil,0.0,2.0,0.0,casa
Spain,0.0,1.0,0.0,casa
Italy,0.0,2.0,0.0,casa
Uruguay,0.0,8.0,0.0,casa
Switzerland,1.0,2.0,1.0,casa
Chile,2.0,5.0,2.0,casa
Uruguay,2.0,2.0,2.0,empate
Brazil,1.0,7.0,1.0,casa
Brazil,1.0,6.0,1.0,casa
Uruguay,2.0,3.0,2.0,casa
Sweden,1.0,3.0,1.0,casa
Uruguay,1.0,2.0,1.0,casa
Uruguay,0.0,2.0,0.0,casa
Austria,0.0,1.0,0.0,casa
Brazil,0.0,5.0,0.0,casa
Yugoslavia,0.0,1.0,0.0,casa
Germany FR,1.0,4.0,1.0,casa
Hungary,0.0,9.0,0.0,casa
England,4.0,4.0,4.0,empate
Switzerland,1.0,2.0,1.0,casa
Uruguay,0.0,7.0,0.0,casa
Austria,0.0,5.0,0.0,casa
France,2.0,3.0,2.0,casa
Brazil,1.0,1.0,1.0,empate
Hungary,3.0,8.0,3.0,casa
Turkey,0.0,7.0,0.0,casa
England,0.0,2.0,0.0,casa
Italy,1.0,4.0,1.0,casa
Germany FR,2.0,7.0,2.0,casa
Switzerland,1.0,4.0,1.0,casa
Uruguay,2.0,4.0,2.0,casa
Austria,5.0,7.0,5.0,casa
Germany FR,0.0,2.0,0.0,casa
Hungary,2.0,4.0,2.0,casa
Germany FR,1.0,6.0,1.0,casa
Hungary,2.0,4.0,2.0,casa
Austria,1.0,3.0,1.0,casa
Germany FR,2.0,3.0,2.0,casa
Sweden,0.0,3.0,0.0,casa
Soviet Union,2.0,2.0,2.0,empate
Argentina,3.0,1.0,3.0,fora
Hungary,1.0,1.0,1.0,empate
France,3.0,7.0,3.0,casa
Yugoslavia,1.0,1.0,1.0,empate
Brazil,0.0,3.0,0.0,casa
Northern Ireland,0.0,1.0,0.0,casa
Brazil,0.0,0.0,0.0,empate
Mexico,1.0,1.0,1.0,empate
Paraguay,2.0,3.0,2.0,casa
Yugoslavia,2.0,3.0,2.0,casa
Soviet Union,0.0,2.0,0.0,casa
Germany FR,2.0,2.0,2.0,empate
Argentina,1.0,3.0,1.0,casa
Sweden,1.0,2.0,1.0,casa
Sweden,0.0,0.0,0.0,empate
Brazil,0.0,2.0,0.0,casa
Germany FR,2.0,2.0,2.0,empate
Hungary,0.0,4.0,0.0,casa
Paraguay,3.0,3.0,3.0,empate
France,1.0,2.0,1.0,casa
England,2.0,2.0,2.0,empate
Czechoslovakia,1.0,6.0,1.0,casa
Soviet Union,0.0,1.0,0.0,casa
Northern Ireland,1.0,2.0,1.0,casa
Wales,1.0,2.0,1.0,casa
Brazil,0.0,1.0,0.0,casa
Germany FR,0.0,1.0,0.0,casa
Sweden,0.0,2.0,0.0,casa
France,0.0,4.0,0.0,casa
Sweden,1.0,3.0,1.0,casa
Brazil,2.0,5.0,2.0,casa
France,3.0,6.0,3.0,casa
Brazil,2.0,5.0,2.0,casa
Uruguay,1.0,2.0,1.0,casa
Brazil,0.0,2.0,0.0,casa
Argentina,0.0,1.0,0.0,casa
Chile,1.0,3.0,1.0,casa
Soviet Union,0.0,2.0,0.0,casa
Czechoslovakia,0.0,1.0,0.0,casa
Hungary,1.0,2.0,1.0,casa
Germany FR,0.0,0.0,0.0,empate
Yugoslavia,1.0,3.0,1.0,casa
Brazil,0.0,0.0,0.0,empate
England,1.0,3.0,1.0,casa
Chile,0.0,2.0,0.0,casa
Soviet Union,4.0,4.0,4.0,empate
Spain,0.0,1.0,0.0,casa
Hungary,1.0,6.0,1.0,casa
Germany FR,1.0,2.0,1.0,casa
Soviet Union,1.0,2.0,1.0,casa
Brazil,1.0,2.0,1.0,casa
Hungary,0.0,0.0,0.0,empate
Germany FR,0.0,2.0,0.0,casa
Yugoslavia,0.0,5.0,0.0,casa
Mexico,1.0,3.0,1.0,casa
England,0.0,0.0,0.0,empate
Italy,0.0,3.0,0.0,casa
Chile,1.0,2.0,1.0,casa
Brazil,1.0,3.0,1.0,casa
Czechoslovakia,0.0,1.0,0.0,casa
Yugoslavia,0.0,1.0,0.0,casa
Czechoslovakia,1.0,3.0,1.0,casa
Brazil,2.0,4.0,2.0,casa
Chile,0.0,1.0,0.0,casa
Brazil,1.0,3.0,1.0,casa
England,0.0,0.0,0.0,empate
Germany FR,0.0,5.0,0.0,casa
Brazil,0.0,2.0,0.0,casa
Soviet Union,0.0,3.0,0.0,casa
France,1.0,1.0,1.0,empate
Portugal,1.0,3.0,1.0,casa
Argentina,1.0,2.0,1.0,casa
Italy,0.0,2.0,0.0,casa
Uruguay,1.0,2.0,1.0,casa
Spain,1.0,2.0,1.0,casa
Hungary,1.0,3.0,1.0,casa
Korea DPR,1.0,1.0,1.0,empate
Portugal,0.0,3.0,0.0,casa
Germany FR,0.0,0.0,0.0,empate
Soviet Union,0.0,1.0,0.0,casa
England,0.0,2.0,0.0,casa
Uruguay,0.0,0.0,0.0,empate
Argentina,0.0,2.0,0.0,casa
Portugal,1.0,3.0,1.0,casa
Korea DPR,0.0,1.0,0.0,casa
England,0.0,2.0,0.0,casa
Hungary,1.0,3.0,1.0,casa
Germany FR,1.0,2.0,1.0,casa
